"cts","date","GPS (Lat.) [deg]","GPS (Long.) [deg]","GPS (Alt.) [m]","GPS (2D speed) [m/s]","GPS (3D speed) [m/s]","fix","precision"
"11291.745736842102","2019-11-25T11:18:07.289Z","23.0577941","72.4770355","51.385043068423855","2.11","2.14","3","120"
"11346.139684210522","2019-11-25T11:18:07.344Z","23.0577932","72.4770357","51.29104306842385","1.968","2.11","3","120"
"11400.533631578943","2019-11-25T11:18:07.399Z","23.0577923","72.4770358","51.25204306842385","1.908","1.97","3","120"
"11454.927578947363","2019-11-25T11:18:07.454Z","23.0577913","72.4770355","51.28004306842385","1.972","1.91","3","120"
"11509.321526315784","2019-11-25T11:18:07.509Z","23.0577899","72.4770358","51.26704306842385","2.115","1.97","3","120"
"11563.715473684204","2019-11-25T11:18:07.564Z","23.0577887","72.4770361","51.25804306842385","2.147","2.11","3","120"
"11618.109421052624","2019-11-25T11:18:07.619Z","23.0577878","72.4770363","51.29204306842385","2.086","2.15","3","120"
"11672.503368421045","2019-11-25T11:18:07.674Z","23.0577868","72.4770367","51.25804306842385","1.991","2.09","3","120"
"11726.897315789465","2019-11-25T11:18:07.729Z","23.0577859","72.4770367","51.19604306842385","1.87","1.99","3","120"
"11781.291263157886","2019-11-25T11:18:07.784Z","23.0577847","72.4770368","51.14604306842385","1.913","1.87","3","120"
"11835.685210526306","2019-11-25T11:18:07.839Z","23.0577836","72.4770367","51.13904306842385","1.962","1.91","3","120"
"11890.079157894726","2019-11-25T11:18:07.894Z","23.0577824","72.4770367","51.15804306842385","2.096","1.96","3","120"
"11944.473105263147","2019-11-25T11:18:07.949Z","23.0577814","72.4770369","51.17104306842385","2.063","2.1","3","120"
"11998.867052631567","2019-11-25T11:18:08.004Z","23.0577804","72.4770372","51.17904306842385","1.979","2.06","3","120"
"12053.261","2019-11-25T11:18:08.059Z","23.0577793","72.4770375","51.15004306842385","1.966","1.98","3","111"
"12108.412222222223","2019-11-25T11:18:08.110Z","23.0577782","72.4770376","51.15304306842385","2.026","1.97","3","111"
"12163.563444444446","2019-11-25T11:18:08.162Z","23.057777","72.4770376","51.11804306842385","2.047","2.03","3","111"
"12218.714666666669","2019-11-25T11:18:08.214Z","23.0577757","72.4770379","51.05204306842385","2.091","2.05","3","111"
"12273.865888888891","2019-11-25T11:18:08.266Z","23.0577744","72.4770383","51.04004306842385","2.132","2.09","3","111"
"12329.017111111114","2019-11-25T11:18:08.318Z","23.0577733","72.4770386","50.99604306842385","2.076","2.13","3","111"
"12384.168333333337","2019-11-25T11:18:08.370Z","23.0577722","72.4770389","50.99104306842385","2.085","2.08","3","111"
"12439.31955555556","2019-11-25T11:18:08.422Z","23.057771","72.4770393","50.98404306842385","2.15","2.09","3","111"
"12494.470777777782","2019-11-25T11:18:08.474Z","23.0577698","72.4770395","50.97304306842385","2.2","2.15","3","111"
"12549.622000000005","2019-11-25T11:18:08.526Z","23.0577685","72.4770397","50.93904306842385","2.235","2.2","3","111"
"12604.773222222228","2019-11-25T11:18:08.578Z","23.0577673","72.4770398","50.96604306842385","2.282","2.24","3","111"
"12659.92444444445","2019-11-25T11:18:08.630Z","23.057766","72.4770398","50.94204306842385","2.334","2.28","3","111"
"12715.075666666673","2019-11-25T11:18:08.682Z","23.0577648","72.4770399","50.91404306842385","2.316","2.33","3","111"
"12770.226888888896","2019-11-25T11:18:08.734Z","23.0577638","72.47704","50.89304306842385","2.212","2.32","3","111"
